component,count
188978561100,1
188978561148,1
188978561054,1
197568495633,1
197568495662,1
197568495689,1
197568495648,1
197568495737,1
197568495694,1
206158430333,1
206158430341,1
206158430271,1
206158430319,1
214748364915,1
214748364893,1
214748364871,1
214748364914,1
214748364800,1
214748364911,1
214748364944,1
214748364925,1
223338299463,1
223338299475,1
223338299422,1
223338299494,1
223338299451,1
223338299513,1
231928234007,1
231928234115,1
231928234034,1
231928234028,1
231928234107,1
231928234063,1
231928234118,1
231928234112,1
240518168629,1
240518168578,1
240518168678,1
240518168596,1
249108103221,1
249108103215,1
249108103214,1
249108103238,1
249108103240,1
257698037821,1
257698037869,1
257698037889,1
257698037874,1
266287972412,1
266287972445,1
266287972419,1
266287972443,1
266287972410,1
266287972488,1
274877907022,1
274877906944,1
274877906962,1
274877907050,1
274877907063,1
283467841598,1
283467841575,1
283467841565,1
283467841599,1
283467841587,1
283467841671,1
283467841638,1
292057776191,1
292057776176,1
292057776154,1
300647710816,1
300647710734,1
300647710746,1
300647710728,1
300647710808,1
300647710866,1
300647710721,1
300647710829,1
309237645391,1
309237645435,1
309237645451,1
309237645401,1
309237645336,1
317827580008,1
317827579975,1
317827579998,1
317827579977,1
317827580000,1
317827579957,1
317827580018,1
326417514628,1
326417514519,1
326417514601,1
326417514566,1
326417514607,1
326417514618,1
326417514562,1
326417514619,1
326417514541,1
326417514595,1
335007449122,1
335007449107,1
335007449129,1
335007449105,1
335007449162,1
335007449200,1
335007449118,1
343597383800,1
343597383696,1
343597383778,1
343597383736,1
352187318346,1
352187318274,1
352187318329,1
352187318288,1
352187318276,1
352187318335,1
360777252924,1
360777252892,1
360777252871,1
360777252994,1
360777252932,1
360777252874,1
360777252883,1
360777252865,1
369367187575,1
369367187461,1
369367187521,1
369367187543,1
369367187532,1
369367187507,1
377957122114,1
377957122133,1
377957122093,1
377957122109,1
377957122100,1
377957122077,1
377957122141,1
386547056664,1
386547056700,1
386547056681,1
386547056765,1
386547056674,1
395136991356,1
395136991342,1
395136991304,1
403726925854,1
403726925832,1
403726925899,1
403726925914,1
412316860558,1
412316860526,1
412316860529,1
412316860444,1
412316860429,1
412316860446,1
420906795035,1
420906795091,1
420906795059,1
420906795121,1
420906795013,1
420906795074,1
429496729653,1
429496729704,1
429496729602,1
429496729674,1
429496729646,1
429496729706,1
438086664266,1
438086664220,1
438086664315,1
438086664313,1
438086664193,1
438086664269,1
438086664235,1
438086664237,1
438086664203,1
438086664247,1
438086664317,1
446676598880,1
446676598811,1
446676598822,1
446676598796,1
446676598815,1
446676598868,1
446676598852,1
446676598872,1
455266533521,1
455266533399,1
455266533472,1
455266533389,1
455266533462,1
463856467978,1
463856468036,1
463856468035,1
463856468071,1
463856468019,1
463856468006,1
472446402563,1
472446402696,1
472446402654,1
472446402571,1
472446402677,1
472446402664,1
472446402690,1
472446402700,1
472446402562,1
472446402645,1
481036337217,1
481036337297,1
481036337209,1
481036337152,1
481036337192,1
481036337190,1
481036337258,1
489626271882,1
489626271852,1
489626271884,1
489626271779,1
489626271797,1
489626271776,1
489626271842,1
489626271837,1
498216206338,1
498216206451,1
498216206337,1
498216206369,1
498216206343,1
498216206379,1
506806140993,1
506806141064,1
506806141017,1
506806140964,1
506806140973,1
506806141018,1
506806141048,1
506806140961,1
506806140946,1
515396075562,1
515396075583,1
523986010112,1
523986010216,1
523986010213,1
523986010175,1
523986010235,1
532575944793,1
532575944803,1
532575944780,1
541165879351,1
541165879393,1
541165879359,1
541165879399,1
541165879346,1
549755813937,1
549755813938,1
549755813948,1
549755813987,1
549755813906,1
549755813890,1
549755813957,1
549755813971,1
558345748584,1
558345748552,1
558345748545,1
558345748489,1
558345748537,1
558345748564,1
558345748605,1
558345748508,1
558345748557,1
566935683121,1
566935683127,1
566935683125,1
566935683113,1
566935683178,1
566935683128,1
566935683102,1
566935683103,1
566935683164,1
575525617780,1
575525617680,1
575525617750,1
575525617670,1
575525617705,1
575525617757,1
575525617665,1
584115552350,1
584115552275,1
584115552366,1
584115552337,1
584115552263,1
584115552267,1
584115552387,1
584115552282,1
592705486910,1
592705486972,1
592705486963,1
592705486857,1
601295421500,1
601295421559,1
601295421538,1
601295421468,1
601295421459,1
601295421503,1
609885356074,1
609885356152,1
618475290637,1
618475290699,1
618475290667,1
618475290680,1
618475290750,1
627065225330,1
627065225332,1
627065225327,1
635655159934,1
635655159928,1
635655159894,1
635655159839,1
635655159822,1
635655159813,1
635655159826,1
644245094521,1
644245094459,1
644245094502,1
644245094518,1
644245094509,1
644245094516,1
644245094435,1
644245094429,1
644245094423,1
644245094496,1
652835029046,1
652835029093,1
652835029059,1
652835029062,1
652835029109,1
652835029123,1
652835029125,1
652835029009,1
661424963691,1
661424963679,1
661424963619,1
670014898296,1
670014898184,1
670014898202,1
670014898247,1
678604832769,1
678604832849,1
678604832862,1
678604832778,1
678604832877,1
678604832824,1
687194767418,1
687194767506,1
687194767380,1
687194767464,1
687194767489,1
695784702075,1
695784701952,1
695784702007,1
695784701957,1
695784701955,1
695784702039,1
704374636663,1
704374636631,1
704374636653,1
704374636622,1
704374636635,1
712964571208,1
712964571136,1
712964571237,1
712964571169,1
712964571253,1
721554505785,1
721554505840,1
721554505845,1
721554505830,1
721554505758,1
721554505867,1
721554505774,1
721554505737,1
721554505769,1
730144440446,1
730144440408,1
730144440464,1
730144440451,1
730144440453,1
738734375022,1
738734374979,1
738734375031,1
738734375025,1
738734374972,1
738734375012,1
738734374969,1
738734374945,1
738734374966,1
738734374920,1
747324309576,1
747324309505,1
747324309605,1
755914244098,1
755914244152,1
755914244230,1
755914244127,1
764504178846,1
764504178799,1
764504178822,1
764504178727,1
764504178725,1
764504178811,1
773094113317,1
773094113388,1
773094113304,1
773094113403,1
781684047927,1
781684047912,1
781684048011,1
790273982488,1
790273982472,1
790273982558,1
790273982587,1
790273982490,1
790273982585,1
798863917084,1
798863917141,1
798863917184,1
798863917057,1
798863917109,1
798863917065,1
798863917155,1
807453851777,1
807453851792,1
807453851650,1
807453851700,1
807453851660,1
807453851725,1
807453851790,1
807453851697,1
807453851791,1
816043786326,1
816043786309,1
816043786264,1
816043786329,1
816043786355,1
816043786280,1
816043786281,1
824633720908,1
824633720850,1
824633720842,1
824633720866,1
824633720924,1
824633720832,1
824633720923,1
833223655426,1
833223655464,1
833223655508,1
833223655437,1
833223655526,1
833223655485,1
833223655495,1
833223655459,1
833223655546,1
841813590060,1
841813590098,1
841813590123,1
841813590046,1
841813590119,1
841813590145,1
841813590049,1
850403524650,1
850403524695,1
850403524660,1
850403524629,1
850403524613,1
850403524666,1
850403524736,1
850403524733,1
850403524638,1
858993459230,1
858993459281,1
858993459308,1
867583393883,1
867583393867,1
867583393898,1
867583393906,1
867583393881,1
867583393870,1
876173328409,1
876173328461,1
876173328427,1
876173328457,1
876173328417,1
876173328428,1
876173328384,1
876173328403,1
884763263090,1
884763263116,1
884763262978,1
884763263103,1
884763262989,1
884763263107,1
884763263029,1
893353197584,1
893353197645,1
893353197680,1
893353197663,1
893353197670,1
893353197649,1
893353197577,1
893353197695,1
893353197678,1
893353197719,1
901943132169,1
901943132201,1
901943132247,1
901943132196,1
901943132179,1
901943132209,1
901943132242,1
910533066765,1
910533066822,1
910533066789,1
919123001366,1
919123001447,1
919123001370,1
927712936030,1
927712936045,1
927712936041,1
927712936012,1
936302870598,1
936302870546,1
936302870540,1
936302870613,1
944892805158,1
944892805197,1
944892805263,1
944892805267,1
953482739728,1
953482739805,1
953482739785,1
953482739771,1
953482739776,1
953482739802,1
953482739777,1
962072674392,1
962072674340,1
962072674403,1
962072674327,1
962072674374,1
962072674378,1
962072674368,1
962072674376,1
962072674308,1
962072674349,1
970662608931,1
970662609030,1
970662608956,1
970662609002,1
970662609021,1
970662608898,1
970662608971,1
970662608918,1
970662609008,1
970662608962,1
979252543551,1
979252543589,1
979252543578,1
979252543511,1
987842478090,1
987842478179,1
987842478091,1
987842478184,1
987842478195,1
987842478092,1
996432412726,1
996432412705,1
996432412745,1
996432412816,1
996432412805,1
1005022347363,1
1005022347279,1
1005022347380,1
1005022347341,1
1005022347357,1
1013612281989,1
1013612281911,1
1013612281893,1
1013612281894,1
1013612281873,1
1013612281878,1
1013612281962,1
1013612281899,1
1022202216544,1
1022202216472,1
1022202216484,1
1022202216504,1
1022202216563,1
1022202216520,1
1030792151097,1
1030792151147,1
1030792151048,1
1039382085666,1
1039382085687,1
1039382085747,1
1039382085680,1
1039382085761,1
1047972020246,1
1047972020315,1
1047972020308,1
1047972020323,1
1047972020239,1
1047972020232,1
1047972020307,1
1047972020280,1
1056561954917,1
1056561954880,1
1056561954910,1
1065151889463,1
1065151889472,1
1065151889441,1
1065151889439,1
1065151889430,1
1065151889507,1
1073741824054,1
1073741824118,1
1073741824123,1
1073741824131,1
1073741824047,1
1082331758671,1
1082331758618,1
1082331758659,1
1082331758679,1
1082331758596,1
1090921693256,1
1090921693185,1
1090921693308,1
1090921693322,1
1090921693309,1
1090921693282,1
1090921693231,1
1090921693314,1
1090921693263,1
1090921693216,1
1099511627779,1
1099511627809,1
1099511627796,1
1099511627854,1
1108101562442,1
1108101562391,1
1108101562479,1
1108101562437,1
1108101562472,1
1108101562428,1
1108101562493,1
1108101562390,1
1108101562471,1
1108101562439,1
1108101562370,1
1108101562461,1
1116691497028,1
1116691496961,1
1116691497089,1
1125281431596,1
1125281431613,1
1125281431573,1
1125281431670,1
1125281431651,1
1133871366202,1
1133871366158,1
1133871366169,1
1133871366222,1
1133871366248,1
1133871366264,1
1142461300771,1
1142461300745,1
1142461300764,1
1142461300878,1
1142461300775,1
1142461300781,1
1142461300767,1
1142461300782,1
1142461300865,1
1142461300825,1
1142461300818,1
